  5000.      Teff [K].         Last iteration; yyyymmdd=20080519
  3.5440E+10 Flux [erg/cm2/s]
  1.0000E+04 Surface gravity [cm/s2]
Logarithmic chemical number abundances, H always 12.00, He  10.93   
  56 Number of depth points
Model structure
 k lgTauR  lgTau5    T        Pe          Pg         Prad       Pturb
  1 -5.00 -4.6714  3437.4  6.0166E-03  2.0705E+02 
  2 -4.80 -4.4781  3483.4  8.2815E-03  2.7667E+02 
  3 -4.60 -4.2953  3533.3  1.1290E-02  3.6073E+02 
  4 -4.40 -4.1179  3581.4  1.5108E-02  4.6354E+02 
  5 -4.20 -3.9425  3628.1  1.9974E-02  5.9087E+02 
  6 -4.00 -3.7672  3673.8  2.6185E-02  7.4984E+02 
  7 -3.80 -3.5910  3718.8  3.4124E-02  9.4947E+02 
  8 -3.60 -3.4134  3763.3  4.4283E-02  1.2013E+03 
  9 -3.40 -3.2341  3807.4  5.7287E-02  1.5199E+03 
 10 -3.20 -3.0530  3851.1  7.3924E-02  1.9242E+03 
 11 -3.00 -2.8702  3894.1  9.5122E-02  2.4387E+03 
 12 -2.90 -2.7783  3916.1  1.0797E-01  2.7465E+03 
 13 -2.80 -2.6860  3937.7  1.2241E-01  3.0939E+03 
 14 -2.70 -2.5933  3959.1  1.3871E-01  3.4864E+03 
 15 -2.60 -2.5002  3980.4  1.5713E-01  3.9298E+03 
 16 -2.50 -2.4068  4001.7  1.7790E-01  4.4307E+03 
 17 -2.40 -2.3132  4022.8  2.0136E-01  4.9967E+03 
 18 -2.30 -2.2193  4044.0  2.2789E-01  5.6368E+03 
 19 -2.20 -2.1250  4065.4  2.5793E-01  6.3608E+03 
 20 -2.10 -2.0306  4087.0  2.9202E-01  7.1795E+03 
 21 -2.00 -1.9359  4109.0  3.3079E-01  8.1048E+03 
 22 -1.90 -1.8412  4131.8  3.7506E-01  9.1502E+03 
 23 -1.80 -1.7463  4155.6  4.2579E-01  1.0330E+04 
 24 -1.70 -1.6513  4180.8  4.8423E-01  1.1661E+04 
 25 -1.60 -1.5564  4207.6  5.5183E-01  1.3159E+04 
 26 -1.50 -1.4616  4236.6  6.3061E-01  1.4844E+04 
 27 -1.40 -1.3670  4268.3  7.2295E-01  1.6734E+04 
 28 -1.30 -1.2725  4303.0  8.3151E-01  1.8851E+04 
 29 -1.20 -1.1784  4342.0  9.6112E-01  2.1216E+04 
 30 -1.10 -1.0846  4384.6  1.1144E+00  2.3854E+04 
 31 -1.00 -0.9912  4433.6  1.3006E+00  2.6791E+04 
 32 -0.90 -0.8983  4487.8  1.5235E+00  3.0053E+04 
 33 -0.80 -0.8058  4550.0  1.7961E+00  3.3673E+04 
 34 -0.70 -0.7138  4620.1  2.1273E+00  3.7688E+04 
 35 -0.60 -0.6223  4699.7  2.5327E+00  4.2144E+04 
 36 -0.50 -0.5311  4789.5  3.0287E+00  4.7100E+04 
 37 -0.40 -0.4403  4891.0  3.6389E+00  5.2628E+04 
 38 -0.30 -0.3496  5005.4  4.3979E+00  5.8818E+04 
 39 -0.20 -0.2590  5134.1  5.3665E+00  6.5764E+04 
 40 -0.10 -0.1681  5278.6  6.6712E+00  7.3530E+04 
 41  0.00 -0.0767   5440.9  8.5927E+00  8.2073E+04
 42  0.10  0.0154   5623.0  1.1721E+01  9.1136E+04
 43  0.20  0.1083   5827.0  1.7204E+01  1.0022E+05
 44  0.30  0.2021   6056.2  2.7228E+01  1.0875E+05
 45  0.40  0.2966   6311.2  4.5731E+01  1.1630E+05
 46  0.50  0.3914   6608.6  8.2227E+01  1.2262E+05
 47  0.60  0.4861   6924.1  1.4818E+02  1.2770E+05
 48  0.70  0.5801   7205.9  2.4302E+02  1.3187E+05
 49  0.80  0.6734   7447.8  3.6311E+02  1.3555E+05
 50  0.90  0.7662   7656.5  5.0513E+02  1.3898E+05
 51  1.00  0.8585   7840.7  6.6811E+02  1.4232E+05
 52  1.20  1.0430   8153.1  1.0503E+03  1.4917E+05
 53  1.40  1.2276   8432.8  1.5408E+03  1.5666E+05
 54  1.60  1.4131   8694.2  2.1687E+03  1.6517E+05
 55  1.80  1.5999   8946.5  2.9760E+03  1.7508E+05
 56  2.00  1.7883   9195.2  4.0185E+03  1.8677E+05
